POLARITY		CONCEPT
positive		deli
positive		deli_meat
positive		deliberately
positive		deliberately_agitative
negative		deliberately_amateurish
negative		deliberately_deceptive
positive		deliberately_incendiary
positive		deliberately_incitive
positive		deliberately_inflammatory
positive		deliberately_instigative
negative		deliberately_lead_astray
negative		deliberately_misdirect
negative		deliberately_misguide
negative		deliberately_misinform
positive		deliberately_provocative
positive		deliberately_sexy
negative		deliberately_unsettling
negative		deliberately_vague
positive		deliberateness
negative		deliberation
positive		deliberative
positive		deliberative_assembly
positive		deliberative_discussion
negative		delicacy
negative		delicacy_alzheimer
negative		delicacy_obesity
negative		delicacy_rheumatism
negative		delicacy_sleep_apnea
positive		delicate
positive		delicate_affection
negative		delicate_balance
negative		delicate_beauty
negative		delicate_braid
negative		delicate_clam
positive		delicate_coral
positive		delicate_currency
positive		delicate_diet
negative		delicate_disk_storage
positive		delicate_ecological
negative		delicate_emotion
negative		delicate_enlace
negative		delicate_entwine
negative		delicate_fabric
positive		delicate_flavor
positive		delicate_flower
positive		delicate_food
negative		delicate_fortify
negative		delicate_grounder
positive		delicate_hat
positive		delicate_herb
negative		delicate_interlac
negative		delicate_intertwine
negative		delicate_lace
positive		delicate_lighting
negative		delicate_liner
positive		delicate_meat
positive		delicate_metal
negative		delicate_patch
positive		delicate_pencil
positive		delicate_pink
negative		delicate_plait
positive		delicate_plastic
positive		delicate_population
negative		delicate_receptor
negative		delicate_rupee
positive		delicate_scent
positive		delicate_scrabble
positive		delicate_sectarian
positive		delicate_sediment
positive		delicate_sensitivity
positive		delicate_skill
negative		delicate_spike
negative		delicate_substrate
positive		delicate_touch
negative		delicate_twine
positive		delicate_wood
positive		delicate_workmanship
positive		delicately
positive		delicately_jewelry
negative		delicately_mist
negative		delicately_needlework
negative		delicately_powder
negative		delicately_sandpaper
positive		delicately_tune
positive		delicately_wool
positive		delicatessen
positive		delicatessen_food
positive		delicious
positive		delicious_aroma
positive		delicious_breakfast
positive		delicious_cake
positive		delicious_flavor
positive		delicious_food
positive		delicious_homemade
positive		delicious_honey
positive		delicious_ice_cream
positive		delicious_lunch
positive		delicious_meal
positive		delicious_smell
positive		delicious_spirit
positive		delicious_tan
positive		delicious_taste
positive		deliciously
negative		deliciously_evil
positive		deliciousness
negative		delict
positive		deligh_hub
positive		delight
negative		delight_complimentary
positive		delight_craft
positive		delight_ride
negative		delight_seeker
positive		delighted
positive		delightedly
positive		delightful
positive		delightful_companion
negative		delightful_flavor
positive		delightful_homemade
positive		delightfully
negative		delignification
positive		delilah
positive		delineate
positive		delineation
positive		delineative_art
negative		delinquency
positive		delinquent
negative		delinquent_behavior
positive		delinquent_child
negative		delinquent_conduct
positive		delinquent_debt
negative		delinquent_failure
negative		delinquent_obligor
positive		delinquent_youth
negative		deliquescence
positive		deliquescent
positive		deliquium
negative		deliquium_cry
positive		deliquium_smell
positive		deliquium_whiff
positive		deliriant
negative		delirious
positive		delirious_fun
positive		deliriously
negative		delirium
positive		delish
positive		deliver
positive		delphic
positive		delrin
negative		delta_chi
negative		delta_force
negative		delta_fraternity
negative		delta_kappa
negative		delta_kappa_epsilon
positive		delta_kappa_epsilon_fraternity
positive		delta_omicron
negative		delta_phi
negative		delta_rocket
negative		delta_sigma_phi
negative		delta_tau_delta
positive		delta_theta_phi
negative		delta_upsilon
positive		deltoid
negative		deltora
negative		delude
negative		deluded
negative		deluge
negative		deluge_forest
positive		deluge_hose
negative		deluge_mitigation
negative		deluge_plain
positive		deluge_wallaby
negative		delusion
negative		delusive
negative		delusive_brethren
negative		delusive_dawn
positive		delusive_etymology
negative		delusive_flag
negative		delusive_pretext
positive		delusive_umbilicate
negative		delusory
positive		deluxe
negative		deluxe_alluvial_soil
positive		deluxe_aroma
positive		deluxe_cultural_diversity
negative		deluxe_grassland
positive		deluxe_heritage
positive		deluxe_parade
positive		deluxe_peatland
positive		deluxe_procession
positive		deluxe_resort
positive		deluxe_sum
positive		deluxe_theft
positive		delyo_glacier
positive		demagog
negative		demagogic
positive		demagogue
positive		demagoguery
positive		demagogy
positive		deman
negative		demand
negative		demand_copy
negative		demand_etiology
negative		demanded
negative		demanding
negative		demanding_ransom
negative		demanding_repayment
negative		demarcate
positive		demarcation
positive		demarcation_ratio
positive		demasculinise
positive		demasculinize
positive		demean
negative		demeanor
positive		demeanor_detrimental
negative		demeclocycline
positive		demense
negative		dementedness
positive		dementia
negative		dementia_praecox
positive		dementia_sufferer
positive		demerge
negative		demerit
negative		demerit_circuit_interrupter
negative		demerit_rupture
positive		demerol
positive		demesne
positive		demesne_scrip
positive		demi_brigade
positive		demi_monde
negative		demigod
positive		demijohn
positive		demimonde
negative		demiplane
negative		demise
negative		demitasse
positive		demobilize
positive		democractic
negative		democracy
positive		democratic
positive		democratic_acclaim
positive		democratic_accountability
positive		democratic_activity
positive		democratic_alliance
positive		democratic_alliance_sda
negative		democratic_blister
positive		democratic_collective
positive		democratic_collectivist
positive		democratic_collectivistic
negative		democratic_congressman
negative		democratic_democracy
positive		democratic_enquiry
negative		democratic_flog
positive		democratic_governance
positive		democratic_immunity
positive		democratic_incumbent
positive		democratic_institution
negative		democratic_lash
negative		democratic_lather
positive		democratic_liberal_party
positive		democratic_majority
positive		democratic_managed_economy
positive		democratic_nominee
positive		democratic_oversight
positive		democratic_party
negative		democratic_party_whip
positive		democratic_payee
negative		democratic_pip
positive		democratic_pluralism
negative		democratic_revolt
positive		democratic_revolution
negative		democratic_scald
negative		democratic_senator
negative		democratic_slash
positive		democratic_socialism
positive		democratic_socialist
positive		democratic_socialist_party
positive		democratic_socialistic
negative		democratic_strap
positive		democratic_transition
negative		democratic_trounce
negative		democratic_welt
negative		democratic_whip
negative		democratic_whiplash
negative		democratic_whisk
negative		democratic_worst
negative		democratically
negative		democratically_elected_leader
negative		democratically_elected_loss_leader
positive		democratization
positive		democratize
positive		demode
positive		demogorgon
negative		demographic
negative		demographic_assumption
positive		demographic_change
positive		demographic_characteristic
positive		demographic_indicator
positive		demographic_information
negative		demographics
negative		demolish
negative		demolish_dissent
negative		demolition
positive		demolition_ax
negative		demolition_contractor
negative		demolition_debris_landfill
positive		demolition_derby
negative		demolition_permit
negative		demon
negative		demon_almighty
negative		demon_divine
negative		demon_godhead
negative		demon_hunter
negative		demon_huntsman
negative		demon_jehovum
negative		demon_knight
negative		demon_lord
negative		demon_master
negative		demon_noble
negative		demon_nobleman
negative		demon_orion
negative		demon_overlord
negative		demon_possession
positive		demon_prince
positive		demon_ridden
positive		demon_ridden_love
positive		demon_sheep
negative		demon_typhon
positive		demonetization
negative		demoniac
negative		demoniac_possession
positive		demoniacal
negative		demoniacal_monomania
negative		demoniacal_ownership
negative		demoniacal_possession
negative		demoniacal_self_command
negative		demoniacal_self_control
negative		demoniacal_self_possession
negative		demoniacal_willpower
negative		demoniacally
negative		demonic
positive		demonic_clone
negative		demonic_conjuration
negative		demonic_conjuring_trick
negative		demonic_conspiracy
negative		demonic_deceptio
negative		demonic_illusion
negative		demonic_legerdemain
negative		demonic_magic
negative		demonic_magic_trick
negative		demonic_magical
positive		demonic_plan
negative		demonic_possession
negative		demonic_stepmother
negative		demonic_supernatural
negative		demonic_thaumaturgy
negative		demonic_trick
negative		demonic_wizardly
negative		demonic_worship
positive		demonically
negative		demonism
negative		demonization
positive		demonize
negative		demonologist
negative		demonology
positive		demonstrability
positive		demonstrable
positive		demonstrably
negative		demonstrably_false
negative		demonstrably_wrong
negative		demonstrance
positive		demonstrate
positive		demonstrate_abidance
negative		demonstrate_causation
positive		demonstrate_competence
positive		demonstrate_complaisance
positive		demonstrate_compliance
positive		demonstrate_compliancy
positive		demonstrate_conformation
positive		demonstrate_conformity
positive		demonstrate_contradict
positive		demonstrate_deference
positive		demonstrate_exemplary
positive		demonstrate_mastery
positive		demonstrate_new_model
positive		demonstrated_competence
positive		demonstrated_efficacy
positive		demonstrated_excellence
positive		demonstrated_exceptional
positive		demonstrated_exemplary
positive		demonstrating_compliance
positive		demonstrative
negative		demonstrative_arousal
negative		demonstrative_change
negative		demonstrative_disease
negative		demonstrative_imbalance
positive		demonstrative_maturity
positive		demonstrative_pain
negative		demonstrative_pronoun
positive		demonstrative_resilience
negative		demonstrator
positive		demonstrator_aircraft
negative		demonstrators_chanted_death
negative		demoralisation
negative		demoralise
negative		demoralised
negative		demoralising
negative		demoralization
negative		demoralize
negative		demoralized
negative		demoralizing
positive		demos
negative		demote
negative		demote_apart
positive		demote_silence
negative		demoted
positive		demotic
positive		demotion
negative		demulcent
positive		demulcent_coral
positive		demulcent_diet
positive		demulcent_food
positive		demulcent_lighting
negative		demulcent_liner
positive		demulcent_metal
negative		demulcent_patch
positive		demulcent_pencil
positive		demulcent_plastic
positive		demulcent_sediment
positive		demulcent_skill
negative		demulcent_substrate
negative		demulcent_wood
negative		demur
positive		demure
positive		demure_demeanor
positive		demurely
negative		demureness
negative		demurrer
negative		demurrer_mechanism
negative		demurrer_posture
negative		demyelinating_disease
negative		demyelination
negative		demystification
positive		demystify
positive		denary_relation
negative		denary_value
negative		denature
negative		denatured_alcohol
positive		deneb
negative		denervation
negative		dengue
negative		dengue_febricity
negative		dengue_febrility
negative		dengue_fever
negative		dengue_pyrexia
negative		deniability
negative		deniable
negative		denial
negative		denial_mechanism
negative		denial_posture
negative		denialism
negative		denied
positive		denied_bail
negative		denies_conspiracy
negative		denigrate
positive		denigrate_contamination
positive		denigrate_duplication
negative		denigration
negative		denigrative
positive		denigrative_additive
positive		denigrative_libel
positive		denigrative_metal
negative		denigrative_microorganism
negative		denigratory
positive		denigratory_additive
positive		denigratory_libel
positive		denigratory_metal
negative		denigratory_microorganism
negative		denim
positive		denim_shirt
negative		denis_donaldson
positive		denis_lavant
negative		denis_quilley
negative		denison_smock
negative		denitrification
positive		denizen
positive		denizen_relativity
negative		dennehy
positive		dennistoun
negative		denominate
positive		denomination
negative		denominational
negative		denominational_resistant
negative		denominational_strife
negative		denominational_tension
positive		denominationalism
positive		denominator
positive		denotation
positive		denotative
positive		denotative_accuracy
positive		denotative_acknowledgement
positive		denotative_algorithm
positive		denotative_initialization
positive		denotative_integrity
positive		denotative_score
positive		denotative_sexual
positive		denotative_transparency
positive		denotative_value
positive		denote
positive		denotive
positive		denotive_accuracy
positive		denotive_acknowledgement
positive		denotive_algorithm
positive		denotive_initialization
positive		denotive_integrity
positive		denotive_score
positive		denotive_sexual
positive		denotive_transparency
positive		denotive_value
negative		denounce
negative		denounce_airstrip
positive		denounce_poison
negative		denounce_sod
negative		denouncement
positive		dense
negative		dense_afforest
negative		dense_artillery_bombardment
positive		dense_atmosphere
negative		dense_blubber
negative		dense_bulb
positive		dense_canopy
negative		dense_coat
negative		dense_concentration
positive		dense_congestion
positive		dense_connective_tissue
negative		dense_cream
negative		dense_debt_burden
negative		dense_decline
negative		dense_defeat
positive		dense_exertion
negative		dense_firepower
negative		dense_fog
positive		dense_foliage
positive		dense_footprint
negative		dense_forest
positive		dense_fur
positive		dense_glow
positive		dense_gunfire
positive		dense_hardwood
negative		dense_headache
negative		dense_ice
positive		dense_joke
positive		dense_jungle
positive		dense_layer
positive		dense_light
positive		dense_lighting
negative		dense_mist
positive		dense_mud
positive		dense_nucleus
positive		dense_plasma
negative		dense_roar
positive		dense_rope
positive		dense_scrub
positive		dense_siltation
positive		dense_slumber
negative		dense_smog
negative		dense_smoke
negative		dense_soil
positive		dense_spice
negative		dense_timberland
positive		dense_tissue
positive		dense_traffic_congestion
negative		dense_underfur
positive		dense_vegetable
positive		dense_weave
positive		dense_wood
negative		dense_woodland
positive		densely
positive		densely_canescent
positive		densely_comal
positive		densely_comate
positive		densely_comose
negative		densely_covered_with
positive		densely_downy
positive		densely_floccose
positive		densely_furlike
positive		densely_furry
positive		densely_fuzzy
positive		densely_hairy
positive		densely_hirsute
positive		densely_hispid
positive		densely_hoary
positive		densely_lanate
positive		densely_pilary
positive		densely_pilose
positive		densely_puberulent
positive		densely_pubescent
positive		densely_wiry
positive		densely_woolly
positive		densely_wooly
positive		densely_woven
negative		densest
negative		densification
positive		densification_algorithm
negative		densitometer
positive		density
positive		density_altitude
positive		density_babelike
positive		density_conditional
positive		density_dependence
positive		density_dependency
positive		density_dependent
positive		density_estimation
positive		density_gradient
positive		density_habituation
positive		density_interdependent
positive		density_leechlike
positive		density_mutualist
positive		density_parasitic
positive		density_parasitical
positive		density_pendent
positive		density_profile
positive		density_slope
negative		density_stratification
positive		density_strung_out
positive		density_symbiotic
positive		density_underage
negative		dent
negative		dent_corn
negative		dental_arch
negative		dental_care
positive		dental_consonant_dam
negative		dental_consonant_device
positive		dental_consonant_floss
positive		dental_consonant_hygiene_profession
positive		dental_consonant_implant
positive		dental_consonant_pulp
negative		dental_consonant_work
negative		dental_crop
negative		dental_cultivate
positive		dental_dam
positive		dental_decameter
positive		dental_decametre
positive		dental_decay
positive		dental_dekameter
positive		dental_dekametre
negative		dental_device
positive		dental_dike
positive		dental_disease
positive		dental_dyke
negative		dental_employment
positive		dental_engraft
negative		dental_exploit
negative		dental_ferment
positive		dental_flesh
positive		dental_floss
negative		dental_forg
negative		dental_function
negative		dental_gimmick
positive		dental_hygiene_community
positive		dental_hygiene_profession
positive		dental_implant
negative		dental_influence
negative		dental_knead
negative		dental_mold
positive		dental_mush
positive		dental_plant
positive		dental_practitioner_drill
positive		dental_procedure
positive		dental_profession
positive		dental_pulp
positive		dental_pulp_magazine
negative		dental_shape
negative		dental_solve
negative		dental_sour
positive		dental_surgeon
negative		dental_twist
negative		dental_work
negative		dental_work_on
negative		dental_workplace
negative		dental_wreak
positive		dentary
negative		dentate
positive		dentate_pavement
negative		denticulate
positive		denticulate_pavement
positive		dentifrice
positive		dentine
positive		dentist_drill
positive		dentist_recitation
negative		dentistry
negative		dentition
negative		dentition_grinding
positive		dentoalveolar
positive		denuclearization
positive		denuclearize
positive		denuclearized
negative		denudate
positive		denudate_assertion
negative		denudate_breast
negative		denude
positive		denude_assertion
negative		denude_breast
positive		denumerable
negative		denunciation
negative		denunciative
negative		denunciatory
positive		denville
negative		deny
negative		deny_conspiracy
positive		deny_religion
positive		deny_value
negative		denying
positive		deodorant
positive		deodorise
positive		deodorize
positive		deodourise
positive		deok
negative		deontic
positive		deontic_modality
positive		deontic_mode
positive		deontic_mood
negative		deontological
positive		deosil
negative		deoxidise
negative		deoxidise_clutter
positive		deoxidise_dependence
positive		deoxidise_friction
positive		deoxidise_pain
negative		deoxidise_stigma
negative		deoxidize
negative		deoxidize_clutter
positive		deoxidize_dependence
positive		deoxidize_friction
positive		deoxidize_pain
negative		deoxidize_stigma
positive		deoxy
negative		deoxyephedrine
negative		deoxyephedrine_addict
negative		deoxyephedrine_berg
positive		deoxyephedrine_cream
negative		deoxyephedrine_cream_scoop
positive		deoxyephedrine_removal
positive		deoxyephedrine_shaft
positive		depakene
negative		depart
positive		depart_from
negative		depart_sexual_intercourse
negative		depart_work
positive		department
negative		departmental
positive		departmental_approval
negative		departmental_faculty
negative		departmental_liaison
positive		departure_of_ship
positive		depauperate
negative		depaysement
positive		dependability
negative		dependable
positive		dependable_barrage
negative		dependable_belt
positive		dependable_cheer
negative		dependable_coprocessor
positive		dependable_deed
positive		dependable_habit
negative		dependable_hibernator
positive		dependable_honours_degree
positive		dependable_humor
negative		dependable_humoredly
negative		dependable_increase
positive		dependable_intention
positive		dependable_kisser
negative		dependable_luck_chuck
positive		dependable_manner
positive		dependable_quality_food
negative		dependable_rise
negative		dependable_sparrow
negative		dependable_stream
negative		dependable_supply
positive		dependable_vocation
positive		dependably
negative		dependably_detect
positive		dependably_predict
positive		dependably_reproduce
negative		depended_on
negative		dependence
negative		dependency_ratio
negative		dependent
positive		dependent_copepod
positive		dependent_on_relation
negative		dependent_organism
positive		dependent_personality_disease
negative		dependent_rage
positive		dependent_relation
positive		depending_on_relation
positive		depends_critically_on
positive		depends_on
negative		depersonalization
negative		depersonalization_cark
negative		depersonalization_disarray
negative		depersonalization_disease
negative		depersonalization_distract
negative		depersonalization_neurosis
negative		depersonalization_neuroticism
negative		depersonalization_perturb
negative		depersonalization_trouble
negative		depersonalization_upset
positive		depiction
positive		depictive_art
negative		depicts
negative		depigmentation
negative		depilatory
negative		deplane
negative		deplete
positive		deplete_alcohol
negative		deplete_gas_recirculation
negative		depleted
positive		depleted_blanket
positive		depleted_cape
positive		depleted_chimneypiece
positive		depleted_curtain
positive		depleted_drape
positive		depleted_drapery
positive		depleted_mantel
positive		depleted_mantelpiece
positive		depleted_mantle
positive		depleted_mantlepiece
positive		depleted_mickey_mantle
positive		depleted_pall
positive		depleted_pallium
negative		depleted_uranium_ammunition
negative		depletion
negative		deplorable
negative		deplorable_behavior
positive		deplorable_breath
positive		deplorable_defamation
positive		deplorable_farewell
positive		deplorable_gang
negative		deplorable_haircut
negative		deplorable_litigation
negative		deplorable_misconduct
negative		deplorable_mouth
negative		deplorable_offense_punishable
negative		deplorable_organization
negative		deplorable_rank
positive		deplorable_sanction
positive		deplorable_student
positive		deplorable_word
negative		deplorably
negative		deplore
positive		deploy
negative		deploy_ballistic_missile
positive		deployable
positive		deployment
negative		deplumate
negative		deplumate_gas_fired
negative		deplumate_jerker
negative		deplume
negative		deplume_gas_fired
negative		deplume_jerker
negative		depo_provera
negative		depolarization
negative		depone
negative		depone_falsely
negative		depone_fealty
positive		deponent
positive		depopulate
negative		depopulate_landscape
negative		depopulation
positive		deport
positive		deport_detrimental
positive		deport_intelligently
negative		deportable
positive		deportation
positive		deportee
negative		deportment
positive		deportment_detrimental
negative		depose
negative		depot
negative		depot_scald
negative		depot_tank
negative		depot_vault
negative		deprav
negative		depravation
negative		deprave
negative		depraved
negative		depraved_apathy
negative		depraved_heart
negative		depraved_impassivity
negative		depraved_indifference
negative		depraved_indifference_murder
negative		depraved_phlegm
negative		depraved_stolidity
negative		depraved_unconcern
negative		depraved_unemotionalit
negative		depravity
negative		deprecate
negative		deprecation
negative		deprecative
negative		deprecative_information
positive		deprecative_review
negative		deprecatory
negative		depreciable
negative		depreciate
negative		depreciated_value
negative		depreciating
negative		depreciating_asset
negative		depreciation
negative		depreciation_allowance
negative		depreciation_deduction
negative		depreciation_discount
negative		depreciation_entailment
negative		depreciation_expense
negative		depreciation_implication
negative		depreciation_subtraction
negative		depreciative
negative		depreciatory
negative		depredation
negative		depress
negative		depressurization
negative		depressurize
negative		deprettify
negative		deprive
negative		deprotonate
positive		depth
negative		depuis_samedi
positive		depurate
positive		deputation
negative		depute
negative		depute_blame
positive		depute_fiscal
negative		deputise
negative		deputize
positive		deracinate
positive		deracination
negative		derail
positive		derailleur
negative		derange
negative		derangement
negative		derby_clash
positive		derby_hat
negative		derealization
negative		deregulate
negative		deregulated_environment
negative		deregulation
negative		deregulatory
negative		derelict
negative		derelict_conduct
negative		derelict_failure
negative		derelict_industrial
negative		derelict_land
positive		derelict_old
positive		derelict_quarry
negative		dereliction
negative		derestrict
negative		deride
negative		deridingly
positive		derinkuyu
negative		derision
negative		derisive
negative		derisively
negative		derisorily
negative		derisory
positive		derivable
positive		derivation
positive		derivational
negative		derivative
negative		derivative_instrument
positive		derivative_lock
negative		derivatization
positive		derive
positive		derived_function
positive		derived_function_derivative
positive		derived_function_lock
negative		derived_statistic
positive		derives_from
negative		dermal_filler
positive		dermal_papilla
positive		dermal_tissue
negative		dermatitis
negative		dermatofibroma
negative		dermatology
positive		dermatopathology
positive		dermic_papilla
negative		dermoid_cyst
negative		dermoid_vesicle
negative		deroceras_reticulatum
negative		derogate
positive		derogate_contamination
positive		derogate_duplication
negative		derogate_from
negative		derogation
negative		derogation_deduction
negative		derogative
negative		derogatory
negative		derogatory_language
positive		derogatory_manner
negative		deronda
positive		derridean
positive		derriere
positive		derriere_axle
negative		derriere_bunk
positive		derriere_feeder
negative		derriere_rebuke
negative		derriere_rot
positive		derriere_saucepan
negative		derriere_seats_fold
positive		derriere_spoiler
positive		derriere_weld
positive		des_cinq
positive		des_hasler
negative		des_lupeaulx
negative		des_quelque
positive		desaix
positive		desalinate
positive		desalinated_water
positive		descend
negative		descend_asleep
positive		descend_on
positive		descend_permanently
positive		descendance
positive		descended_from
positive		descending_aorta
negative		descending_colon
negative		descends
positive		descent
negative		descent_asleep
negative		descent_disease
negative		descent_module
positive		descent_oath
negative		descent_pressure_measurement
negative		descent_problem
positive		descent_procedure
negative		descent_sample
negative		descent_serum
positive		descent_thirsty
positive		describable
negative		describe_characteristic
positive		describe_commodity
positive		describe_economic_sector
positive		describe_fob
positive		describe_function
positive		descriptive
negative		descriptive_grammar
positive		descriptive_statistic
negative		descriptor_anion
positive		descriptor_behaviorism
positive		descriptor_centrist
negative		descriptor_perineal_prostatectomy
positive		descriptor_redesign
negative		descriptor_relativism
positive		descriptor_shift
positive		descriptor_skepticism
positive		descry
negative		desecrate
negative		desecrate_copyright
negative		desecration
negative		desensitization
negative		deser
negative		desert
positive		desert_bergamot
positive		desert_berry
negative		desert_bird
positive		desert_bison
negative		desert_boar
positive		desert_botany
negative		desert_camo
negative		desert_camouflage
positive		desert_container
negative		desert_cottontail
negative		desert_disguise
positive		desert_disposal
positive		desert_eagle
positive		desert_ecosystem
positive		desert_flora
positive		desert_ginger
negative		desert_grassland
positive		desert_honey
negative		desert_incinerator
negative		desert_land
positive		desert_landscape
positive		desert_marjoram
positive		desert_orchid
negative		desert_pavement
positive		desert_plant
positive		desert_sand
negative		desert_scenery
positive		desert_scrub
negative		desert_sidewalk
positive		desert_strawberry
negative		desert_terrain
positive		desert_vegetation
positive		deserted_beach
positive		deserter
positive		desertification
negative		desertion
negative		deserue
positive		deserve
positive		deserve_award
negative		deserve_better
positive		deserve_credit
positive		deserve_good
positive		deserve_medal
positive		deserve_praise
positive		deserved_acknowledgement
positive		deserved_acknowledgment
positive		deserved_credit
positive		deserved_identification
positive		deserved_punishment
positive		deserved_realization
positive		deserved_recognition
positive		deservedly
positive		deserves_accredit
positive		deserves_acknowledgment
positive		deserves_citation
positive		deserves_cite
positive		deserves_credit
positive		deserves_deferred_payment
positive		deserves_look
positive		deserves_mention
positive		deserves_praise
positive		deserves_quotation
positive		deserves_recognition
positive		deservingly
positive		desexualise
positive		desexualize
negative		desh_deshpande
negative		desiccant
negative		desiccate
negative		desiccate_headache
negative		desiccate_roar
negative		desiccated_coco
negative		desiccated_cocoanut
negative		desiccated_coconut
negative		desiccated_coconut_meat
negative		desiccated_coconut_tree
negative		desiccated_cocos_nucifera
negative		desiccation
positive		desideratum
positive		design
negative		design_blemish
negative		design_cad
positive		design_constraint
negative		design_defect
positive		design_discipline
negative		design_fault
negative		design_flaw
positive		design_pattern
positive		design_principle
positive		design_professional
negative		designate
negative		designate_blame
negative		designated_heir
negative		designated_heritor
negative		designated_inheritor
positive		designated_marksman
positive		designated_sharpshooter
positive		designative
negative		designator
positive		designed_specifically
negative		designed_to
positive		designedly
negative		designedly_deceptive
positive		designedly_provocative
positive		designee
positive		designer
positive		designer_apparel
negative		designer_chaff
positive		designer_drug
positive		designer_handbag
negative		designer_husk
positive		designer_pocketbook
positive		designer_purse
negative		designer_shuck
negative		designer_stalk
negative		designer_straw
negative		designer_stubble
positive		desipramine_norpramin
positive		desirability
positive		desirable
positive		desirable_liquid
positive		desire
positive		desire_acquire
positive		desire_ascertain
positive		desire_check
positive		desire_con
positive		desire_determine
positive		desire_discover
positive		desire_instruct
positive		desire_larn
positive		desire_learn
positive		desire_memorise
positive		desire_memorize
positive		desire_succeed
positive		desire_teach
negative		desired
negative		desired_trait
positive		desirous
negative		desist
negative		desist_from
negative		desistance
positive		desisted_from
positive		desk_bound
negative		desk_bound_lifestyle
positive		desk_drawer
negative		desk_sergeant
positive		deskbound
negative		deskbound_lifestyle
negative		desmoid_tumor
negative		desmoplastic
negative		desmosomal
negative		desogestrel
negative		desolate
positive		desolate_assertion
negative		desolate_breast
negative		desolate_camouflage
positive		desolate_container
negative		desolate_desert
positive		desolate_disposal
positive		desolate_eagle
positive		desolate_flora
negative		desolate_incinerator
negative		desolate_landscape
negative		desolate_pavement
negative		desolate_scenery
negative		desolate_soil
negative		desolation
negative		desolation_wrought
negative		desomorphine
positive		desonide
positive		desoto_adventurer
positive		desoxyn
negative		despair
negative		despairing
negative		despairingly
positive		desperado
negative		desperate
positive		despereaux
negative		despicable
positive		despicable_clone
negative		despicable_stepmother
negative		despise
negative		despiteful
positive		despoil
negative		despoil_ammunition
positive		despoil_barrel
negative		despoil_copyright
negative		despoil_suspect
negative		despoilation
negative		despoiler
negative		despoilment
negative		despoliation
positive		despond
negative		despondence
negative		despondency
negative		despondent
positive		despondent_romantic
negative		despondently
positive		despot
negative		despotic
negative		despotic_leader
negative		despotic_power
negative		despotic_regime
negative		despotic_rule
negative		despotically
negative		despotism
negative		desquamation
negative		desron
positive		dessaix
negative		dessert_bread
positive		dessert_wine
negative		destabilization
negative		destabilize
positive		destabilized
negative		destabilizing_burden
negative		destabilizing_consequence
negative		destabilizing_effect
negative		destabilizing_effectuate
negative		destabilizing_force
negative		destabilizing_gist
negative		destabilizing_result
negative		destabilizing_upshot
positive		destine
positive		destined
negative		destitute
negative		destitute_health_care
negative		destitute_hygiene
negative		destitute_quality
negative		destitute_soil
negative		destituteness
negative		destitution
negative		destroy
negative		destroying
negative		destruct
negative		destructed
negative		destructing
negative		destructingly
negative		destructive
negative		destructively
negative		destructoid
negative		destructs
negative		destryer
negative		desultoriness
negative		desultory
negative		desyre
positive		deta_hedman
positive		detach
positive		detachable
negative		detached
negative		detached_garage
positive		detached_magistrate
positive		detached_retina
positive		detachment
negative		detachment_commander
positive		detachment_foam
positive		detail
negative		detain
negative		detect
positive		detectability
positive		detectable
negative		detent
positive		detent_ok
negative		detention
negative		deter
negative		deter_crime
negative		deter_fraud
positive		deter_theft
positive		detergent_drop
negative		deteriorate
positive		deteriorate_arch
negative		deteriorate_dead
negative		deteriorate_volley
negative		deteriorated_importantly
positive		deteriorating_economic
positive		deteriorating_health
negative		deterioration
negative		determent
positive		determinable
positive		determinacy
negative		determinant
negative		determinant_advantage
positive		determinant_breakthrough
negative		determinant_defeat
negative		determinant_engagement
positive		determinate
positive		determinate_advise
positive		determinate_advocate
positive		determinate_counsel
positive		determinate_counsellor
positive		determinate_counselor
positive		determinate_counselor_at_law
positive		determinate_guidance
positive		determinate_pleader
positive		determinate_rede
positive		determinately
positive		determinateness
positive		determination
negative		determinative
negative		determinative_advantage
positive		determinative_breakthrough
negative		determinative_defeat
negative		determinative_engagement
positive		determine
negative		determine_conclusively
positive		determine_eligibility
positive		determine_exerted_by
negative		determine_health
positive		determine_new
positive		determine_on
positive		determine_permanently
positive		determine_seam
negative		determine_valve
positive		determined
positive		determinedly
negative		determining_eligibility
positive		determinism
negative		determinist
positive		deterministic
negative		deterministic_effect
positive		deterministic_model
negative		deterrence
negative		deterrent
negative		deterrent_burden
negative		deterrent_capability
negative		deterrent_capacity
negative		deterrent_care
negative		deterrent_consequence
negative		deterrent_effect
negative		deterrent_effectuate
positive		deterrent_example_plan
negative		deterrent_force
negative		deterrent_gist
positive		deterrent_health
negative		deterrent_posture
negative		deterrent_potentiality
negative		deterrent_result
negative		deterrent_upshot
negative		deterrent_valve
negative		deterring_crime
negative		detest
positive		detestable
negative		detestable_activity
positive		detestably
negative		detestation
negative		dethatch
positive		dethaw
negative		dethe
negative		dethrone
negative		dethronement
positive		detinue
negative		detonate
negative		detonated_prematurely
negative		detonating_cord
negative		detonation
negative		detonative
negative		detonative_offense
negative		detonative_petn
negative		detonator
positive		detonator_cord
positive		detour
positive		detox
positive		detox_food
positive		detox_solid_food
negative		detox_symptom
positive		detoxicate
positive		detoxification
negative		detoxification_symptom
positive		detoxify
positive		detoxify_food
negative		detracting_from
negative		detraction
negative		detractive
negative		detracts_from
negative		detriment
