"term","sentiment"
"archival preservation","-94"
"archival repository","-94"
"archival storage","-94"
"archive","9.5"
"archivolt","4.7"
"archly","81.9"
"archmage","8.1"
"archosaur","-80"
"archosauriform","-80"
"archpriest","17.8"
"archway","4.7"
"arcsecond away","62.9"
"arcserve","72.8"
"arcsight","-67"
"arctic","-87"
"arctic alpine","-74"
"arctic circle","-4"
"arctic coastal plain","-4"
"arctic cod","-7"
"arctic explorer","77.2"
"arctic fox","14.8"
"arctic ground squirrel","-88"
"arctic hare","-7"
"arctic oscillation","-69"
"arctic poppy","-76"
"arctic tundra","-4"
"arctostaphylos uva ursi","-79"
"ardbeg","91.9"
"ardeidae","-84"
"ardennes forest","75"
"ardennes offensive","75"
"ardent","87.3"
"ardent love","81.5"
"ardently","99.4"
"ardeola","3.2"
"ardor","30.6"
"arduous","-64"
"arduous journey","86.9"
"arduous struggle","7.2"
"arduous task","2.8"
"arduous trip","86.9"
"arduousness","-75"
"ardwahisht","-80"
"are","12.6"
"are listed alphabetically","11.6"
"area underlain","88.2"
"arecoline","-73"
"areflexia","-81"
"arena","5.1"
"arencibia","74.7"
"arendelle","-68"
"areolate","-69"
"areolatum","-72"
"areopagitica","5.4"
"arete","78.1"
"argal","-71"
"argali","-71"
"argali ovis ammon","-71"
"argent silver","3.1"
"argent vive","-80"
"argonautica","-73"
"argonne forest","75"
"argonon","-87"
"argot","-2"
"arguable","-86"
"argue","-81"
"arguement","73.4"
"argufy","81.1"
"arguing","80.1"
"argument","-81"
"argumentation","-66"
"argumentative","-88"
"argumentum","-16"
"argumentum ad","69.3"
"argus pheasant","5"
"arhat","9.4"
"aria resort casino","10.2"
"arid","-97"
"arid desert","-79"
"arid environment","-75"
"arid landscape","-79"
"aridity","-83"
"aridness","-83"
"ariel levy","-28"
"arif ali afp getty","-79"
"aright","91.2"
"arilyn moonblade","77.2"
"arioso","73.6"
"ariosophy","-79"
"ariosto orlando furioso","-73"
"arise","5.7"
"aristata","14.7"
"aristocracy","77.6"
"aristocrat","6.3"
"aristocratic","91.9"
"aristocratic privilege","8.6"
"aristocratical","6.4"
"aristotle","78.1"
"arithmetic","6.3"
"arithmetical","6.3"
"arithmometer","4.9"
"arjan singh","64"
"ark angel","-81"
"arkadia jazz all","83.1"
"arkansaw","76"
"arkham asylum","9.2"
"arkham knight","-86"
"arkon","-1"
"arlecchino","-90"
"arleigh burke","82.4"
"arlesburgh","-62"
"arm","-6"
"arm-in-arm","79.5"
"arm aloft","33.5"
"arm around neck","14.2"
"arm atomic bomb","-79"
"arm bomb","-74"
"arm buildup","88"
"arm candy","88.9"
"arm control","-8"
"arm dealer","-72"
"arm force","81.9"
"arm man","-88"
"arm movement","10.5"
"arm part","7"
"arm pub","91.6"
"arm smuggler","-72"
"arm weapon","-89"
"arm wrestle","-11"
"arm wrestler","90.6"
"armageddon","-68"
"armament","-78"
"armament industry","87"
"armani suit","10.4"
"armchair","92.9"
"armed","-8"
"armed confrontation","-13"
"armed cutter","-8"
"armed force","-78"
"armed forces","14.8"
"armed insurrection","-72"
"armed men","-77"
"armed rebellion","-72"
"armed rebellion against","86.3"
"armed resistance","5.4"
"armed revolt","-72"
"armed robbery","-84"
"armed service","14.8"
"armed standoff","-13"
"armed struggle against","5.4"
"armet","-73"
"armhole","-4"
"armilla","-83"
"armillaria mellea","-71"
"armillaria root rot","-71"
"armin luistro","9.6"
"arming sword","86.1"
"armless","-83"
"armlet","-83"
"armoire","5"
"armond white","80"
"armor","6.9"
"armor penetration","91.7"
"armor piercing ammunition","-92"
"armored","79.3"
"armored car","14.8"
"armored cruiser","-7"
"armored frigate","-7"
"armored limousine","-6"
"armored personnel carrier","14.8"
"armored suv","-6"
"armored vehicle","-60"
"armorer","11"
"armory","88.7"
"armour protection","-78"
"armoured car","14.8"
"armoured cruiser","-7"
"armoured fighting vehicle","-72"
"armoured patrol","-72"
"armoured personnel carrier","-72"
"armoured personnel carrier apc","-72"
"armoured recovery","-72"
"armoured vehicle","-72"
"armourer","-88"
"armpit","-6"
"armstrong siddeley viper","73.2"
"armstrong whitworth aircraft","-81"
"army","-9"
"army airfield","-89"
"army boss","9.5"
"army checkpoint","-12"
"army cutworm","-4"
"army fighter","-8"
"army leader","5.1"
"army man","-5"
"army navy","14.8"
"army officer","5.4"
"army person","89.3"
"army position","9"
"army rank","7"
"army title","5.5"
"army unit","5.5"
"armyworm","-65"
"arnim zola","82.9"
"aroma","96.8"
"aromatic compound","71.9"
"aromatic ring","66.7"
"arothron","-70"
"aroun","78.1"
"around","11.5"
"around corner","14.9"
"around earth","89.2"
"around noon","4.4"
"arousal","87.3"
"arouse","81.1"
"arouse suspicion","-93"
"arousing","-77"
"arraign","-81"
"arraignment","5.2"
"arram beck","-65"
"arrange","76.3"
"arrange hair","-4"
"arrange meet","7.7"
"arranged chronologically","12"
"arrangement","82.4"
"arranger","87.6"
"arranging","98"
"arrant","-87"
"arrastra","-76"
"array","63.1"
"arrayed","-75"
"arrayed against","-13"
"arrear","-64"
"arrears","58.9"
"arrest","-86"
"arrest criminal","86.8"
"arrest police","-15"
"arresting","91.7"
"arrestingly","68.9"
"arrhythmia","-77"
"arrhythmic","-67"
"arriero","7.1"
"arrival","9.2"
"arrival hall","12.3"
"arrival lounge","12.3"
"arrival terminal","12.3"
"arrive","9.2"
"arrive conclusion","76.4"
"arrive destination","8.4"
"arrive early","32.6"
"arrive home","23.4"
"arrive late","-4"
"arrive mail","84.9"
"arrive time","80.9"
"arrive work","86.2"
"arriviste","-83"
"arrogance","-88"
"arrogancy","-90"
"arrogant","-87"
"arrogantly","85.8"
"arrogate","61.5"
"arrondaz","-69"
"arrow","5.4"
"arrow arum","71.1"
"arrow icon","10.2"
"arrow represent","5.4"
"arrow shaft","5.4"
"arrowhead","5.4"
"arrowroot","4.7"
"arrowwood national","9.6"
"arroz con","-2"
"arsacid dynasty","92.8"
"arse","-5"
"arse around","-85"
"arsehole","-16"
"arsenal","-11"
"arsenal almunia","81"
"arsenate mineral","-2"
"arsenic","-88"
"arsenic acid","-78"
"arson","-14"
"arson attack","-14"
"arson fire","-14"
"arson investigation","-14"
"arson investigator","-14"
"arson spree","-3"
"arson squad","-14"
"arsonist","-3"
"art","10.5"
"art alliance meaa","84.1"
"art craft","62.8"
"art creation","11.8"
"art critic","80"
"art deco architecture","83.8"
"art deco ornamentation","6.3"
"art deco style","83.8"
"art degree","3.8"
"art exhibition","7"
"art form","16.1"
"art gallery","-3"
"art lover","87.4"
"art museum","7"
"art ncca","72.3"
"art nouveau architecture","-62"
"art nouveau style","14.7"
"art of transmuting metal","92.9"
"art piece","62.8"
"art show","8"
"art supply","8.3"
"artamidae","-78"
"artcile","-6"
"arte dei medici","86.3"
"arte di calimala","86.3"
"arte povera","-12"
"artefact","7.1"
"artefact recovered from","7.1"
"artefactual","7.1"
"artemide","-81"
"artemis entreri","-1"
"arter","-86"
"arterial","2.5"
"arterial blood","35.7"
"arterial hypertension","-65"
"arterial plaque","-77"
"arterial pressure","35.7"
"arterial road","2.5"
"arterial route","2.5"
"arterial wall","2.5"
"arteriolar","72.7"
"arteriole","2.5"
"arteritis","-79"
"artery","2.5"
"artery disease","-81"
"artery occlusion","-72"
"artery wall","2.5"
"artful","89.3"
"artfully","80.8"
"artfulness","-72"
"arthralgia","-78"
"arthri zen relief","8.3"
"arthritic","-85"
"arthritic condition","-7"
"arthritic pain","-92"
"arthritis","-74"
"arthritis pain","60.3"
"arthropathy","-69"
"arthroplasty","-9"
"arthropod","-3"
"arthroscope","17.3"
"artic","-4"
"article","94.3"
"article clothes","80.8"
"article make clothes","-4"
"article of clothing","80.9"
"articulacy","87.2"
"articular cartilage","-73"
"articular disk","-73"
"articular surface","65.3"
"articulate","86.5"
"articulated locomotive","11.3"
"articulation","-76"
"articulator","-76"
"articuno","3.4"
"artifact","-81"
"artifactual value","-94"
"artifical","-74"
"artifice","-68"
"artificer","57.5"
"artificial","-74"
"artificial arm","85.8"
"artificial barrier","-95"
"artificial birth control","94.3"
"artificial christmas tree","85.6"
"artificial contraception","-86"
"artificial fertiliser","3.5"
"artificial fertilizer","3.5"
"artificial horizon","85.3"
"artificial ice rink","16.3"
"artificial intelligence","5.6"
"artificial intelligence ai","74.1"
"artificial leg","84.5"
"artificial light","88.9"
"artificial lighting","-68"
"artificial limb","-9"
"artificial respiration","-72"
"artificial satellite","86.2"
"artificial sea","-74"
"artificial selection","67.2"
"artificial taste","-74"
"artificial turf football","3.7"
"artificial urinary sphincter","-63"
"artificial ventilation","-72"
"artificiality","-67"
"artificially","-74"
"artificially inflate","-55"
"artilce","-6"
"artillero","-87"
"artillery","-84"
"artillery ammunition","-92"
"artillery barrage","-92"
"artillery battalion","-90"
"artillery battery","-84"
"artillery bombardment","-92"
"artillery detachment","-9"
"artillery fire","-92"
"artillery observation","-66"
"artillery officer","6.7"
"artillery opened fire","89.6"
"artillery piece","-84"
"artillery rocket","14.4"
"artillery shell","-90"
"artillery tractor","14.8"
"artilleryman","-84"
"artin afkhami","-23"
"artiodactyl","-75"
"artiodactyl mammal","86"
"artisan","57.5"
"artist","7.7"
"artist lucas cranach","79"
"artist tool","7.7"
"artistic","4"
"artistic achievement","75.6"
"artistic avant garde","-12"
"artistic creation","61.9"
"artistic creativity","61.9"
"artistic endeavor","61.9"
"artistic experimentation","61.9"
"artistic expression","62.8"
"artistic imagination","61.9"
"artistic inspiration","61.9"
"artistic legacy","61.9"
"artistic medium","-3"
"artistic merit","75.6"
"artistic perfection","-73"
"artistic production","57.3"
"artistic roller skating","83.9"
"artistic sensibility","69.4"
"artistic skill","75.6"
"artistic talent","69.4"
"artistic temperament","-82"
"artistic tradition","86.8"
"artistic vision","4.7"
"artistical","61.9"
"artistry","81.7"
"artless","-90"
"artlessness","-59"
"artor","-78"
"artspace","7"
"artsy","85.8"
"artwork","5.1"
"arugula salad","5.2"
"arvco","10.5"
"arwa damon","-23"
"arwenack","78.8"
"arytenoid","-73"
"arzei habira","8.1"
"asana meaning posture","3.6"
"asarabacca","-61"
"asarum","83.1"
"asashoryu","7"
"asbestos","-4"
"asbestos boll","-4"
"asbestos removal","-10"
"asbestos waste","-4"
"ascaridole","-73"
"ascend","8.3"
"ascend mate","6.1"
"ascendance","-83"
"ascendancy","-83"
"ascendant","-83"
"ascendency","-83"
"ascending pharyngeal artery","-80"
"ascent","56.2"
"ascertain","2.2"
"ascetic","69"
"ascetic ideal","74"
"ascetic life","80.5"
"ascetic lifestyle","8.1"
"ascetical","69"
"asceticism","80.5"
"ascetism","80.5"
"ascidian","-76"
"ascii art","72.6"
"ascii format","8.3"
"ascii text","5.5"
"ascitic fluid","69.5"
"ascochyta","-71"
"ascomycete","-84"
"ascomycete fungi","-84"
"ascophyllum nodosum","-72"
"ascribable","56.1"
"ascribe","61.5"
"ascription","69.2"
"asepsis","67.1"
"asexual","-77"
"asexual reproduction","-69"
"asexuality","82"
"asgardian magic","-90"
"ash","-2"
"ash crimson","-86"
"ash fraxinus excelsior","64.8"
"ash gray","93.6"
"ash heap","92.4"
"ash ketchum","3.4"
"ash patel","-67"
"ash tray","-5"
"ashen","-92"
"ashen grey","-65"
"asherman syndrome","-73"
"ashes","-78"
"ashkenazi synagogue","12.2"
"ashore","-7"
"ashtanga","93"
"ashtanga yoga","93"
"ashtead","72.1"
"ashtray","-5"
"asia","69"
"asia minor","-85"
"asia pacific","7.1"
"asia pacific region","7.1"
"asiago cheese","-7"
"asian","3.2"
"asian bistro","69.8"
"asian cuisine","82.2"
"asian fusion","82.2"
"asian giant hornet","-72"
"asian monsoon","9.3"
"asian pacific region","7.1"
"asian tsunami","-18"
"asiatic cholera","-76"
"asiatic wild","87.5"
"aside","-96"
"asif hassan afp getty","-79"
"asigra","72.8"
"asinine","-84"
"asininely","-78"
"asininity","73.7"
"ask","84.5"
"ask a lot of question","-8"
"ask expert","3.2"
"ask for","81.1"
"ask for forgiveness","83.9"
"ask for lift","91.5"
"ask for permission","74.8"
"ask for trouble","-73"
"ask help","6.6"
"ask information","14.8"
"ask menu","4.1"
"ask money","-82"
"ask nicely","82.3"
"ask permission","32.6"
"ask person","5.9"
"ask politely","10.4"
"ask price","10"
"ask question","88.1"
"ask to leave","-87"
"asker","-67"
"aslant","-86"
"asleep","88.5"
"asocial","-70"
"asociality","-70"
"asparagus risotto","3.1"
"asparagus salad","-5"
"aspartame","70.1"
"aspca","-87"
"aspd","94.7"
"aspect","10.4"
"aspect ratio","5.7"
"aspectual","-64"
"asperger","86.6"
"asperger disorder","-77"
"asperger syndrome","-77"
"aspergers syndrome","-77"
"aspergillus oryzae","5.2"
"asperity","62.1"
"asperse","-89"
"aspersion","-75"
"asphalt","6.6"
"asphalt concrete","-2"
"asphalt emulsion","-2"
"asphalt overlay","-2"
"asphalt pavement","-2"
"asphalt runway","-65"
"asphalt surface","-2"
"asphaltic concrete","9.2"
"aspheric","77.2"
"aspherical","77.2"
"asphyxiate","-6"
"asphyxiating","-77"
"aspic","80.2"
"aspidella","-73"
"aspinal","-2"
"aspirant","82.8"
"aspiration","4.7"
"aspire","90"
"aspirin","-8"
"aspiring","82.8"
"aspiring singer","89.1"
"asplenia","-51"
"asroc","-81"
"ass","-4"
"assail","-73"
"assailant","-7"
"assassin","-66"
"assassin bug","-75"
"assassinate","-83"
"assassination","-72"
"assault","-8"
"assault rifle","-85"
"assault rifle ammunition","-92"
"assault weapon","-86"
"assaulter","67.5"
"assaultive","-89"
"assaultive behavior","-80"
"assay","74.9"
"assayer","-64"
"assemblage","75.4"
"assemble","6.7"
"assembled crowd","33.5"
"assembler language","92.8"
"assembly","3.8"
"assembly line","6"
"assembly seat","3.6"
"assent","9.8"
"assent unto","-74"
"asser life","-74"
"assert","81.8"
"asserted","90.7"
"assertion","66.8"
"assertive","92.9"
"assertive behavior","87.3"
"assertive communication","87.3"
"assertively","92.7"
"assertiveness","87.3"
"assertoric","-81"
"assess","6.1"
"assessed clean energy","10.7"
"assessment","-88"
"asset","9"
"asset bubble","-10"
"asset control ofac","-76"
"asset depreciation","-77"
"asset price","-75"
"asset swap","8.9"
"asseverate","61.5"
"asseveration","75.1"
"asshole","-13"
"assibilation","73.6"
"assiduity","87"
"assiduous","80.9"
"assiduousness","75.1"
"assign","75.2"
"assign homework","-13"
"assign responsibility","91.2"
"assigned homework","-13"
"assignee","94.8"
"assigning responsibility","91.2"
"assignment","4.3"
"assimilate","70.9"
"assimilation","-80"
"assimilationist","68.9"
"assimilationist ideology","-89"
"assinine","-84"
"assist","73.3"
"assistance","78.7"
"assistant","6.4"
"assistant attorney","5.7"
"assistant conductor","29"
"assistant curate","17.8"
"assistant director","7.6"
"assistant district attorney","5.7"
"assistant editor","77.2"
"assistant professor","85.4"
"assistant provost","11.5"
"assistant solicitor","4.6"
"assistant trainer","6.3"
"assistant vice president","7.1"
"assistantship","20.8"
"assisted living center","77.1"
"assisted living facility","77.1"
"assisted living residence","77.1"
"assistive device","-76"
"assistive technology","-78"
"associability","54.6"
"associableness","54.6"
"associate","7.6"
"associate chair","-90"
"associate conductor","29"
"associate director","7.6"
"associate executive director","7.1"
"associate membership","10.3"
"associate professor","85.4"
"associate provost","11.5"
"associate vice president","7.1"
"associate vice provost","11.5"
"associated with","11.3"
"associateship","7.6"
"association","6.8"
"association bwea","99.6"
"association football soccer","77.9"
"association prca","85.9"
"associational power","74.8"
"associative cache","73"
"assoil","73.8"
"assolo","70.3"
"assonance","-71"
"assorted","-69"
"assortment","9.4"
"assuage","63.5"
"assuage investor","32.5"
"assuasive","29"
"assume","93.2"
"assume responsibility","73.3"
"assumed command","82.4"
"assumed good faith","67.8"
"assumed responsibility","72.3"
"assumes responsibility","91.2"
"assuming responsibility","91.2"
"assumption","14.2"
"assurance","22.2"
"assure","29.8"
"assured","-64"
"assuredly","9.7"
"assuring compliance with","91.2"
"ast","94.2"
"astaroth","68.9"
"astasia","-67"
"astasia abasia","-67"
"asterisk","82.1"
"asternal","-82"
"asteroid","85.1"
"asteroid da","85.1"
"asthama","-87"
"asthenia","-80"
"asthenic","-82"
"asthenopia","-70"
"asthenosphere","-92"
"astheny","-74"
"asthma","-6"
"asthma attack","-89"
"asthma immunology","-87"
"asthmatic","-76"
"asthmatic child","-81"
"astigmatism","-72"
"astley amphitheatre","95.4"
"astley clarke","-83"
"astonish","35.7"
"astonished","91.1"
"astonishing","35.6"
"astonishingly","35.7"
"astonishment","78.4"
"astound","35.7"
"astounded","35.8"
"astounding","35.6"
"astoundingly","85.7"
"astrakhan","-56"
"astral body","-69"
"astral plane","7.9"
"astral projection","86.6"
"astraphobia","-49"
"astray","-86"
"astrazeneca","31"
"astride","-84"
"astringence","-68"
"astringency","-79"
"astringent","92"
"astringent taste","-79"
"astro","-58"
"astro turf","3.7"
"astrolabe","85.3"
"astroland","4.3"
"astrologer","7.9"
"astrologist","7.9"
"astrology","2.7"
"astronomical clock","-90"
"astronomical observation","81.1"
"astronomical phenomenon","81.1"
"astronomical science","96.9"
"astronomical telescope","3.9"
"astronomy","90.3"
"astrophysics","77.7"
"astros pitcher","-86"
"asturias prize","7.1"
"astute","90.3"
"astuteness","74.2"
"asunder","86.1"
"asura","-5"
"aswan","10.5"
"aswan dam","10.5"
"asylum","-62"
"asymmetric","79.9"
"asymmetric cryptography","68.4"
"asymmetric encryption","68.4"
"asymmetric warfare","90.6"
"asymmetrical","-77"
"asymmetrical warfare","-69"
"asymmetry","-70"
"asymmetry between","-88"
"asymptotic behavior","-73"
"asymptotic optimality","-82"
"asynchronously","-10"
"asystole","-3"
"at arm length","34.1"
"at bletchley park","4.6"
"at brookvale oval","92.3"
"at btig","71.1"
"at coventry ricoh","5.1"
"at craigs investment","76.7"
"at ease","32.5"
"at edgewood tahoe","73.8"
"at full gallop","28.3"
"at gunpoint","-47"
"at hanamaki station","-83"
"at least","-76"
"at leichhardt oval","92.3"
"at loss","-91"
"at low tide","79.8"
"at munich allianz","5.1"
"at rosehill","72.5"
"at semple stadium","3.6"
"at stadion poljud","94.8"
"at the same time","80"
"at variance","-74"
"at warwick farm","72.5"
"atacama desert trek","5.5"
"ataraxia","67.1"
"ataraxis","32.8"
"atari teenage riot","-28"
"atasteful","73.8"
"ataxia","-11"
"ataxia telangiectasia","-68"
"ataxic","76.3"
"atazanavir","-84"
"atbara","10.5"
"atbara river","10.5"
"atcc cip","-6"
"atchafalaya basin","-78"
"atef crown","-71"
"ateji","-76"
"atelic","69.3"
"atemporal","69.9"
"atenolol","-67"
"aterazawa line","79.9"
"athame","7.6"
"athanor","93"
"atheia","-78"
"atheism","-80"
"atheist","94.3"
"atheist activist","94.3"
"atheistic","-82"
"atheistic communism","10.4"
"atheistical","84.2"
"athelete","97"
"athenian","78.2"
"athenian comic","-73"
"athenian lawgiver","78.2"
"atheoretical","-68"
"atherosclerotic disease","-77"
"atherosclerotic plaque","2.5"
"athiest","94.3"
"athirst","-85"
"athleta","-61"
"athlete","90.6"
"athlete foot","-76"
"athletic","90.4"
"athletic ability","9.2"
"athletic activity","6.1"
"athletic apparel","-61"
"athletic department","-71"
"athletic eligibility","-65"
"athletic event","89.7"
"athletic footwear","-61"
"athletic game","79"
"athletic mascot","-81"
"athletic shoe","-61"
"athletic trainer","97"
"athletic training","76.4"
"athletic wear","-78"
"athleticism","-64"
"athletics","87.7"
"atlantic","7.9"
"atlantic bottlenose dolphin","3.3"
"atlantic coast","7.9"
"atlantic coastline","7.9"
"atlantic hurricane","-5"
"atlantic hurricane activity","-69"
"atlantic ocean","7.9"
"atlantic ocean off","7.9"
"atlantic seaboard","7.9"
"atlantic spotted dolphin","3.3"
"atlantic tropical cyclone","-5"
"atlanticism","75.4"
"atm","13.1"
"atm card","3.9"
"atm debit card","3.9"
"atm gene","-78"
"atm machine","-6"
"atm transaction","13.1"
"atm withdrawal","13.1"
"atman soul","69.9"
"atmosphere","94.6"
"atmospheric carbon","10.7"
"atmospheric chemistry","79.4"
"atmospheric drag","92.3"
"atmospheric fallout","75.4"
"atmospheric humidity","-5"
"atmospheric moisture","-5"
"atmospheric phenomenon","-5"
"atmospheric pollution","-72"
"atmospheric pressure","-6"
"atmospheric science","78.9"
"atmospheric variability","-5"
"atom","4.8"
"atom bomb","-83"
"atom smasher","76.7"
"atomic arsenal","-87"
"atomic blast","-83"
"atomic bomb","-83"
"atomic bomb project","-83"
"atomic clock","-90"
"atomic energy","-85"
"atomic energy act","-85"
"atomic energy agency","-85"
"atomic energy authority","-85"
"atomic energy commission","-85"
"atomic energy commission aec","-85"
"atomic energy dae","-85"
"atomic explosion","-83"
"atomic fission","-83"
"atomic force microscopy","-88"
"atomic layer","-88"
"atomic orbital","10.1"
"atomic reactor","-8"
"atomic scale","3.2"
"atomic warfare","-83"
"atomic weapon","-83"
"atomic weaponry","-83"
"atomically","73.4"
"atomicity","73.4"
"atomisation","-80"
"atomist","-70"
"atomization","-80"
"atomize","-80"
"atomopteryx","77.9"
"atomoxetine","77.4"
"atonal","-72"
"atonality","-72"
"atone","-68"
"atonement","-68"
"atonic","-74"
"atoning sacrifice","-68"
"atop","83.6"
"atop rockefeller center","5.8"
"atp funded technology","23"
"atque","72.9"
"atraumatic","-89"
"atrial","-77"
"atrial fibrillation","-77"
"atrial fibrillation af","-77"
"atrial flutter","-77"
"atrial tachycardia","-77"
"atrioventricular","-67"
"atrioventricular block","-77"
"atrium","-2"
"atrocious","-83"
"atrociously","-93"
"atrociousness","-94"
"atrocity","-80"
"atrophedema","-78"
"atrophic","-81"
"atrophoderma","-85"
"atrophy","-81"
"atropine","-59"
"atsugewi","97"
"attach","11.2"
"attached gingiva","-77"
"attachment","84.8"
"attack","-14"
"attack enemy","-18"
"attacker","-7"
"attacking flair","83.3"
"attacking wrestler","12"
"attain","77"
"attain goal","82.6"
"attainability","86"
"attainable","86.8"
"attainment","63.1"
"attempt","89.8"
"attempt bribe","-87"
"attempt fly","6.5"
"attempted armed robbery","78.9"
"attempted arson","-14"
"attempted bribery","-87"
"attempted burglary","-84"
"attempted coup","-72"
"attempted homicide","-90"
"attempted murder","-14"
"attempted murder charge","67.3"
"attempted robbery","-84"
"attempted theft","-84"
"attend","8.9"
"attend class","77.7"
"attend concert","14"
"attend conference","83.9"
"attend event","83.9"
"attend meeting","83.9"
"attend opus","-7"
"attend rock concert","62.8"
"attendance","74.2"
"attendance allowance","92.3"
"attendant","88.5"
"attended elementary school","70.6"
"attended kingswood school","4.9"
"attendee","5.9"
"attendence","74.2"
"attention","33"
"attention deficit","74.5"
"attention deficit disorder","74.5"
"attentional","87.3"
"attentional control","84.3"
"attentive","94.3"
"attentively","-86"
"attenuation","-81"
"attenuation coefficient","-83"
"attest","77.1"
"attestation","22.2"
"attested","86.4"
"attic","-2"
"attic floor","7.2"
"attic room","7.2"
"attire","-86"
"attitude","17"
"attitude towards homosexuality","88.9"
"attitude towards woman","-75"
"attorney","5.7"
"attorney general","5.7"
"attorney general nicola roxon","88.7"
"attorney office","5.7"
"attorneyclient privilege","81.6"
"attract","83.3"
"attract attention","87.6"
"attract dog","7.6"
"attract foreign","83.3"
"attract mate","3.2"
"attract opposite sex","89.5"
"attract top notch","83.3"
"attractant","5.4"
"attraction","94"
"attraction include","8.5"
"attractive","9.6"
"attractive alternative","64.4"
"attractive valuation","93.7"
"attractiveness","68.8"
"attractivenessment","68.2"
"attributable","56.1"
"attribute","-72"
"attribution","84.6"
"attribution error","-73"
"attributive","-64"
"attrition","-32"
"attrition rate","-32"
"attrition warfare","-69"
"attunement","71.5"
"atv accident","-93"
"atwitter","-78"
"atypical","-64"
"atypical depression","-88"
"atypical pneumonia","-90"
"au coeur","76.6"
"au dem","75.4"
"au der","75.4"
"au pair","83.9"
"au pair placement","83.9"
"au plus haut","93.5"
"au revoir","17.2"
"auberon waugh","-66"
"auburn hair","2.7"
"auburn plainsman","-71"
"auburn quarterback cam","-67"
"auchentoshan","91.9"
"auckland rugby football","-76"
"auckland rugby union","-76"
"auction","8.5"
"auctoritate","72.9"
"aucune diffrence","70.3"
"audacious","28.3"
"audaciously","28.3"
"audaciousness","82.8"
"audacity","82.8"
"audibility","72.1"
"audible","74.2"
"audible frequency","-80"
"audible noise","11.4"
"audible voice","-81"
"audibleness","72.1"
"audibly","-94"
"audience","86.7"
"audio","5.4"
"audio amplifier","2.8"
"audio cassette","73.4"
"audio clip","8.2"
"audio commentary track","7"
"audio compression","5.4"
"audio mixer","5.4"
"audio output","5.4"
"audio playback","5.4"
"audio recorder","-17"
"audio signal","-80"
"audio stream","5.4"
"audio tape","-17"
"audio video","5.4"
"audio visual","5.4"
"audio visual room","81.1"
"audiocassette","73.4"
"audiotape","-17"
"audiovisual equipment","3.2"
"audit","83.1"
"audit report","83.1"
"auditability","81.7"
"audition","92"
"auditor","-67"
"auditor general","83.1"
"auditoria","81.1"
"auditorily","-63"
"auditorium","75.5"
"auditory","86.1"
"auditory agnosia","-74"
"auditory aphasia","-88"
"auditory bulla","3.4"
"auditory comprehension","-88"
"auditory cue","6.8"
"auditory discrimination","4.7"
"auditory input","-63"
"auditory memory","74.5"
"auditory oral","-94"
"auditory processing disorder","74.5"
"auditory sensitivity","-80"
"auditory signal","6.8"
"auditory stimulus","6.8"
"auditory system","9.6"
"auditory verbal agnosia","-88"
"audix","11.8"
"audre lorde","-93"
"auf den","75.4"
"aught","9.7"
"aught else","57.5"
"augment","18"
"augmented reality","8.5"
"augmented triad","-75"
"augmentin","70.7"
"augur","67.6"
"augustan","75.6"
"augustan period","2.1"
"augustan poet ovid","-73"
"augustan rome","-85"
"auguste escoffier","61.9"
"aulularia","-73"
"aumf","35.7"
"aunt","7.1"
"aunt em","85.5"
"aunt jamesina","67.3"
"aunt plenty","67.3"
"aunt uncle","97.3"
"auntie","7.1"
"auntie em","85.5"
"aupair","83.9"
"aura","83.6"
"aural","86.2"
"aural equivalent","-85"
"aureate","81.6"
"aureole","82.2"
"auricle setose","-65"
"auricular confession","90.9"
"auriculata","71.5"
"auriculotemporal nerve","-25"
"auriform","77.2"
"aurora","-5"
"auroral","-5"
"auroral activity","-5"
"auroral oval","-5"
"auroral zone","-75"
"aurore","-87"
"auschwitz birkenau death","9.8"
"ausiello","58.2"
"auspex","67.6"
"auspicate","61.7"
"auspice","72.3"
"auspicious","74"
"auspicious occasion","78.4"
"auspiciously","91"
"auspiciousness","87.5"
"austen pride","-92"
"austere","-84"
"austere beauty","-64"
"austerity budget","72.6"
"australasian association","90.9"
"australia","76.6"
"australian aviator","-81"
"australian defence","-86"
"australian magpie","-78"
"australian masked owl","77.9"
"australian outback","5.5"
"australian swimmer","-6"
"australopith","-67"
"australopithecine","61.9"
"austudy","92.3"
"autarchy","-73"
"autem","72.9"
"auteur","-71"
"authentic","78.9"
"authentically","78.7"
"authenticate","77.1"
"authenticated","86.2"
"authenticity","83.9"
"author","82.9"
"author suggest","12.4"
"authorial","90.9"
"authorial voice","-69"
"authoring language","-81"
"authoring language package","-81"
"authoring language program","-81"
"authoring language system","-81"
"authorised biography","78.6"
"authorised overdraft","69.5"
"authoritarian","-74"
"authoritarian leader","-72"
"authoritarian regime","-83"
"authoritarian rule","-83"
"authoritarianism","92"
"authoritative","70.1"
"authoritative guide","4.9"
"authoritative reference","72.6"
"authoritative source","84.6"
"authoritie","32.8"
"authority","91"
"authority ukaea","-85"
"authorization","7.5"
"authorize","-84"
"authorize payment","5.9"
"autism","-77"
"autism spectrum","-77"
"autism spectrum disorder","-77"
"autistic","-77"
"autistic disorder","-77"
"autistic spectrum","-77"
"autistic spectrum disorder","-77"
"auto","-57"
"auto accident","-93"
"auto analyst","71.1"
"auto correlation","-83"
"auto dealer","-7"
"auto dealership","6.9"
"auto immune","-73"
"auto immune disease","-79"
"auto immune disorder","-79"
